plan_sponsor,Freq,plan_sponsor_clean
ALACHUA CO LIBRARY,3,ALACHUA CO LIBRARY
ALACHUA COUNTY,2,ALACHUA COUNTY
ALACHUA COUNTY LIBRARY,8,ALACHUA COUNTY LIBRARY
ALACHUA COUNTY SCHOOL BOARD,9,ALACHUA COUNTY SCHOOL BOARD
ALTAMONTE SPRINGS,20,ALTAMONTE SPRINGS
APOPKA,36,APOPKA
ARCADIA,26,ARCADIA
ATLANTIC BEACH,24,ATLANTIC BEACH
ATLANTIS,12,ATLANTIS
ATLANTIS (CLOSED),1,ATLANTIS (CLOSED)
AUBURNDALE,33,AUBURNDALE
AVENTURA,10,AVENTURA
AVON PARK,24,AVON PARK
BAL HARBOUR VILL,4,BAL HARBOUR VILL
BAL HARBOUR VILL-R,1,BAL HARBOUR VILL-R
BAL HARBOUR VILLAGE,18,BAL HARBOUR VILLAGE
BARTOW,36,BARTOW
BAY HARBOR ISLANDS,4,BAY HARBOR ISLANDS
BAY HARBOR ISLANDS [GP],18,BAY HARBOR ISLANDS [GP]
BAY MEDICAL CENTER,11,BAY MEDICAL CENTER
BELLE GLADE,16,BELLE GLADE
BELLE GLADE (RETIRED),9,BELLE GLADE (RETIRED)
BELLE GLADE HOUSE,3,BELLE GLADE HOUSE
BELLE GLADE HOUSING,9,BELLE GLADE HOUSING
BELLEAIR,12,BELLEAIR
BELLEAIR BEACH,1,BELLEAIR BEACH
BELLEAIR BLUFFS,6,BELLEAIR BLUFFS
BELLEAIR BLUFFS (CLOSED),1,BELLEAIR BLUFFS (CLOSED)
BELLEVIEW,12,BELLEVIEW
BERT FISH MEDICAL CENTER,5,BERT FISH MEDICAL CENTER
BOCA GRANDE FCD,10,BOCA GRANDE FCD
BOCA RATON,18,BOCA RATON
BOCA RATON EXEC,3,BOCA RATON EXEC
BOCA RATON EXECUTIVE,9,BOCA RATON EXECUTIVE
BOCA RATON HOUSING,10,BOCA RATON HOUSING
BONITA SPRINGS FCD,23,BONITA SPRINGS FCD
BOYNTON BEACH,34,BOYNTON BEACH
BOYNTON BEACH (REV,1,BOYNTON BEACH (REV
BRADENTON,24,BRADENTON
BROOKSVILLE,24,BROOKSVILLE
BUNNELL,9,BUNNELL
BUNNELL (REV),3,BUNNELL (REV)
BUSHNELL,21,BUSHNELL
CAPE CORAL,34,CAPE CORAL
CAPE CORAL (REV),1,CAPE CORAL (REV)
CASSELBERRY,12,CASSELBERRY
CEDAR HAMMOCK FCD,5,CEDAR HAMMOCK FCD
CHATTAHOOCHEE,12,CHATTAHOOCHEE
CLEARWATER,18,CLEARWATER
CLEARWATER (CLOSED),3,CLEARWATER (CLOSED)
CLEARWATER CLOSED,3,CLEARWATER CLOSED
CLERMONT,29,CLERMONT
CLERMONT (RETIRED),7,CLERMONT (RETIRED)
CLEWISTON,11,CLEWISTON
COCOA,35,COCOA
COCOA BEACH,36,COCOA BEACH
COLLIER CO HOUSE A,3,COLLIER CO HOUSE A
COLLIER COUNTY HOUSING AUTHORITY,4,COLLIER COUNTY HOUSING AUTHORITY
COOPER CITY,33,COOPER CITY
COOPER CITY - MANAGEMENT,9,COOPER CITY - MANAGEMENT
CORAL GABLES,18,CORAL GABLES
CORAL SPRINGS,34,CORAL SPRINGS
CORAL SPRINGS(CLS),1,CORAL SPRINGS(CLS)
CRESCENT CITY,24,CRESCENT CITY
CRESTVIEW,24,CRESTVIEW
DADE CITY,21,DADE CITY
DADE CITY (REV),1,DADE CITY (REV)
DANIA BEACH,18,DANIA BEACH
