plan_sponsor,Freq,plan_sponsor_clean
ALACHUA CO LIBRARY,4,ALACHUA CO LIBRARY
ALACHUA COUNTY,4,ALACHUA COUNTY
ALACHUA COUNTY LIBRARY,5,ALACHUA COUNTY LIBRARY
ALACHUA COUNTY SCHOOL BOARD,10,ALACHUA COUNTY SCHOOL BOARD
ALTAMONTE SPRINGS,90,ALTAMONTE SPRINGS
APOPKA,155,APOPKA
ARCADIA,59,ARCADIA
ATLANTIC BEACH,93,ATLANTIC BEACH
ATLANTIS,29,ATLANTIS
ATLANTIS (CLOSED),2,ATLANTIS (CLOSED)
AUBURNDALE,60,AUBURNDALE
AVENTURA,24,AVENTURA
AVON PARK,101,AVON PARK
BAL HARBOUR VILL,8,BAL HARBOUR VILL
BAL HARBOUR VILL-R,2,BAL HARBOUR VILL-R
BAL HARBOUR VILLAGE,76,BAL HARBOUR VILLAGE
BARTOW,83,BARTOW
BAY HARBOR ISLANDS,2,BAY HARBOR ISLANDS
BAY HARBOR ISLANDS [GP],36,BAY HARBOR ISLANDS [GP]
BAY MEDICAL CENTER,41,BAY MEDICAL CENTER
BELLE GLADE,35,BELLE GLADE
BELLEAIR,6,BELLEAIR
BELLEAIR BEACH,2,BELLEAIR BEACH
BELLEAIR BLUFFS,5,BELLEAIR BLUFFS
BELLEVIEW,47,BELLEVIEW
BOCA GRANDE FCD,1,BOCA GRANDE FCD
BOCA RATON,87,BOCA RATON
BOCA RATON EXECUTIVE,50,BOCA RATON EXECUTIVE
BOCA RATON HOUSING,1,BOCA RATON HOUSING
BONITA SPRINGS FCD,54,BONITA SPRINGS FCD
BOYNTON BEACH,163,BOYNTON BEACH
BOYNTON BEACH (REV,1,BOYNTON BEACH (REV
BOYNTON BEACH(REV),1,BOYNTON BEACH(REV)
BRADENTON,104,BRADENTON
BROOKSVILLE,58,BROOKSVILLE
BUNNELL,16,BUNNELL
BUNNELL (REV),3,BUNNELL (REV)
BUSHNELL,51,BUSHNELL
CAPE CORAL,170,CAPE CORAL
CAPE CORAL (REV),3,CAPE CORAL (REV)
CASSELBERRY,5,CASSELBERRY
CEDAR HAMMOCK FCD,2,CEDAR HAMMOCK FCD
CHATTAHOOCHEE,3,CHATTAHOOCHEE
CLEARWATER,15,CLEARWATER
CLEARWATER CLOSED,7,CLEARWATER CLOSED
CLERMONT,10,CLERMONT
CLEWISTON,16,CLEWISTON
COCOA,152,COCOA
COCOA BEACH,105,COCOA BEACH
COLLIER COUNTY HOUSING AUTHORITY,2,COLLIER COUNTY HOUSING AUTHORITY
COOPER CITY,26,COOPER CITY
COOPER CITY - MANAGEMENT,23,COOPER CITY - MANAGEMENT
CORAL GABLES,47,CORAL GABLES
CORAL SPRINGS,123,CORAL SPRINGS
CORAL SPRINGS(CLS),1,CORAL SPRINGS(CLS)
CRESTVIEW,12,CRESTVIEW
DADE CITY,24,DADE CITY
DANIA BEACH,10,DANIA BEACH
DANIA BEACH [PF],56,DANIA BEACH [PF]
DANIA BEACH [PF] (CLOSED),4,DANIA BEACH [PF] (CLOSED)
DAVIE,99,DAVIE
DAVIE (G & MGT),4,DAVIE (G & MGT)
DAYTONA BCH SHORES,3,DAYTONA BCH SHORES
DAYTONA BEACH,47,DAYTONA BEACH
DEERFIELD BEACH,107,DEERFIELD BEACH
DEERFIELD BEACH (CLOSED),6,DEERFIELD BEACH (CLOSED)
DELAND,136,DELAND
DELRAY BEACH,76,DELRAY BEACH
DELRAY BEACH (REV),3,DELRAY BEACH (REV)
DELTONA,44,DELTONA
DESTIN FCD,46,DESTIN FCD
DESTIN FIRE CD,4,DESTIN FIRE CD
DESTIN FIRE CD REV,2,DESTIN FIRE CD REV
DUNEDIN,56,DUNEDIN
DUNNELLON,4,DUNNELLON
E. LAKE TARPON FCD,6,E. LAKE TARPON FCD
EAST NAPLES F&RD,5,EAST NAPLES F&RD
EAST NAPLES FCD,41,EAST NAPLES FCD
EAST NICEVILLE FCD,14,EAST NICEVILLE FCD
EDGEWATER,82,EDGEWATER
EDGEWOOD,1,EDGEWOOD
ENGLEWOOD AREA FCD,56,ENGLEWOOD AREA FCD
ESTERO FP&R DIST,6,ESTERO FP&R DIST
EUSTIS,83,EUSTIS
EUSTIS (REV),2,EUSTIS (REV)
FERNANDINA BEACH,102,FERNANDINA BEACH
FLAGLER BEACH,3,FLAGLER BEACH
FLORIDA CITY - ELECTED,7,FLORIDA CITY - ELECTED
FLORIDA CITY (REV),3,FLORIDA CITY (REV)
FORT LAUDERDALE,77,FORT LAUDERDALE
FORT MYERS,158,FORT MYERS
FORT PIERCE,12,FORT PIERCE
"FORT PIERCE [G, P, UTIL]",76,"FORT PIERCE [G, P, UTIL]"
FORT PIERCE SUPP,41,FORT PIERCE SUPP
FORT PIERCE UTILITIES,3,FORT PIERCE UTILITIES
"FORT PIERCE UTILITIES [G, P, UTIL]",36,"FORT PIERCE UTILITIES [G, P, UTIL]"
FORT WALTON BEACH,141,FORT WALTON BEACH
FROSTPROOF,50,FROSTPROOF
FROSTPROOF (REV),2,FROSTPROOF (REV)
FRUITLAND PARK,3,FRUITLAND PARK
GAINESVILLE,74,GAINESVILLE
GAINESVILLE - DISABILITY,11,GAINESVILLE - DISABILITY
GREATER NAPLES FCD,19,GREATER NAPLES FCD
GREEN COVE SPRINGS,4,GREEN COVE SPRINGS
GREENACRES,1,GREENACRES
GULF BREEZE,4,GULF BREEZE
GULFPORT,60,GULFPORT
HAINES CITY,134,HAINES CITY
HALIFAX HOSPITAL,21,HALIFAX HOSPITAL
HALLANDALE BEACH,17,HALLANDALE BEACH
HAVANA (VOL),3,HAVANA (VOL)
HIALEAH,38,HIALEAH
HIALEAH - ELECTED,32,HIALEAH - ELECTED
HIALEAH ELECTED,3,HIALEAH ELECTED
HIALEAH GARDENS,4,HIALEAH GARDENS
HILLSBOROUGH COUNTY,24,HILLSBOROUGH COUNTY
HILLSBOROUGH COUNTY (CLOSED),4,HILLSBOROUGH COUNTY (CLOSED)
HILLSBOROUGH CTY,4,HILLSBOROUGH CTY
HOLLY HILL,93,HOLLY HILL
HOLLY HILL (REV),1,HOLLY HILL (REV)
HOLLYWOOD,139,HOLLYWOOD
HOLMES BEACH,6,HOLMES BEACH
HOMESTEAD,78,HOMESTEAD
HOMESTEAD - General & Hospital,36,HOMESTEAD - General & Hospital
HOMESTEAD - Old Elected,12,HOMESTEAD - Old Elected
HOMESTEAD (CLOSED),2,HOMESTEAD (CLOSED)
HOMESTEAD EL & SM,1,HOMESTEAD EL & SM
HOMESTEAD ELECTED,2,HOMESTEAD ELECTED
HOWEY-IN-THE-HILLS,3,HOWEY-IN-THE-HILLS
INDIALANTIC,52,INDIALANTIC
INDIAN HARBOUR BCH,6,INDIAN HARBOUR BCH
INDIAN HARBOUR BEACH,44,INDIAN HARBOUR BEACH
INDIAN RIV SHOR®,1,INDIAN RIV SHOR®
INDIAN RIV SHORES,1,INDIAN RIV SHORES
INDIAN RIVER SHORES,48,INDIAN RIVER SHORES
JACKSONVILLE,106,JACKSONVILLE
JACKSONVILLE - DISABILITY,11,JACKSONVILLE - DISABILITY
JACKSONVILLE (DISABILITY),1,JACKSONVILLE (DISABILITY)
JACKSONVILLE BEACH,141,JACKSONVILLE BEACH
JUPITER,45,JUPITER
JUPITER (REV-2),1,JUPITER (REV-2)
JUPITER (REVISED),2,JUPITER (REVISED)
JUPITER ISLAND,6,JUPITER ISLAND
KEY BISCAYNE,55,KEY BISCAYNE
KEY WEST,69,KEY WEST
