"plan_sponsor_clean","plan_type_clean","valuation_year","grade_letter"
"ALTAMONTE SPRINGS","G",2007,"A"
"ALTAMONTE SPRINGS","G",2009,"A"
"ALTAMONTE SPRINGS","G",2010,"A"
"ALTAMONTE SPRINGS","G",2011,"A"
"ALTAMONTE SPRINGS","G",2012,"A"
"ALTAMONTE SPRINGS","G",2013,"A"
"ALTAMONTE SPRINGS","G",2014,"A"
"ALTAMONTE SPRINGS","G",2015,"A"
"ALTAMONTE SPRINGS","G",2016,"A"
"ALTAMONTE SPRINGS","P",2009,"C"
"ALTAMONTE SPRINGS","P",2011,"B"
"ALTAMONTE SPRINGS","P",2012,"A"
"ALTAMONTE SPRINGS","P",2013,"A"
"ALTAMONTE SPRINGS","P",2015,"A"
"APOPKA","F",2005,"A"
"APOPKA","F",2006,"A"
"APOPKA","F",2007,"A"
"APOPKA","F",2009,"A"
"APOPKA","F",2010,"A"
"APOPKA","F",2011,"B"
"APOPKA","F",2013,"A"
"APOPKA","F",2015,"A"
"APOPKA","G",2005,"B"
"APOPKA","G",2006,"A"
"APOPKA","G",2007,"A"
"APOPKA","G",2009,"A"
"APOPKA","G",2011,"C"
"APOPKA","G",2013,"A"
"APOPKA","G",2015,"B"
"APOPKA","P",2005,"B"
"APOPKA","P",2006,"B"
"APOPKA","P",2007,"B"
"APOPKA","P",2009,"B"
"APOPKA","P",2010,"B"
"APOPKA","P",2011,"C"
"APOPKA","P",2013,"A"
"APOPKA","P",2014,"A"
"APOPKA","P",2015,"A"
"ARCADIA","G",2016,"B"
"ARCADIA","PF",2005,"A"
"ARCADIA","PF",2006,"B"
"ARCADIA","PF",2007,"B"
"ARCADIA","PF",2008,"B"
"ARCADIA","PF",2009,"B"
"ARCADIA","PF",2010,"C"
"ARCADIA","PF",2011,"D"
"ARCADIA","PF",2012,"D"
"ARCADIA","PF",2013,"C"
"ARCADIA","PF",2014,"C"
"ARCADIA","PF",2015,"B"
"ARCADIA","PF",2016,"B"
"ATLANTIC BEACH","G",2005,"B"
"ATLANTIC BEACH","G",2007,"B"
"ATLANTIC BEACH","G",2008,"B"
"ATLANTIC BEACH","G",2009,"B"
"ATLANTIC BEACH","G",2010,"C"
"ATLANTIC BEACH","G",2011,"C"
"ATLANTIC BEACH","G",2012,"C"
"ATLANTIC BEACH","G",2013,"C"
"ATLANTIC BEACH","G",2014,"C"
"ATLANTIC BEACH","G",2015,"C"
"ATLANTIC BEACH","P",2005,"C"
"ATLANTIC BEACH","P",2007,"C"
"ATLANTIC BEACH","P",2008,"D"
"ATLANTIC BEACH","P",2009,"D"
"ATLANTIC BEACH","P",2010,"D"
"ATLANTIC BEACH","P",2011,"D"
"ATLANTIC BEACH","P",2012,"D"
"ATLANTIC BEACH","P",2013,"D"
"ATLANTIC BEACH","P",2014,"C"
"ATLANTIC BEACH","P",2015,"C"
"ATLANTIC BEACH","P",2016,"C"
"ATLANTIS","P",2005,"A"
"ATLANTIS","P",2006,"A"
"ATLANTIS","P",2008,"C"
"ATLANTIS","P",2011,"D"
"ATLANTIS","P",2014,"C"
"AUBURNDALE","F",2011,"D"
"AUBURNDALE","F",2012,"C"
"AUBURNDALE","F",2013,"C"
"AUBURNDALE","F",2014,"C"
"AUBURNDALE","F",2015,"C"
"AUBURNDALE","F",2016,"C"
"AUBURNDALE","G",2010,"C"
"AUBURNDALE","G",2011,"D"
"AUBURNDALE","G",2012,"D"
"AUBURNDALE","G",2013,"D"
"AUBURNDALE","G",2015,"D"
"AUBURNDALE","G",2016,"D"
"AVENTURA","P",2007,"B"
"AVENTURA","P",2009,"B"
"AVENTURA","P",2012,"A"
"AVENTURA","P",2014,"A"
"AVENTURA","P",2016,"A"
"AVON PARK","F",2005,"A"
"AVON PARK","F",2006,"B"
"AVON PARK","F",2007,"A"
"AVON PARK","F",2008,"B"
"AVON PARK","F",2009,"C"
"AVON PARK","F",2010,"C"
"AVON PARK","F",2011,"D"
"AVON PARK","F",2012,"C"
"AVON PARK","F",2013,"C"
"AVON PARK","F",2015,"C"
"AVON PARK","F",2016,"C"
"AVON PARK","P",2007,"A"
"AVON PARK","P",2008,"A"
"AVON PARK","P",2009,"A"
"AVON PARK","P",2010,"B"
"AVON PARK","P",2011,"B"
"AVON PARK","P",2013,"A"
"AVON PARK","P",2015,"A"
"AVON PARK","P",2016,"A"
"BAL HARBOUR VILLAGE","G",2008,"C"
"BAL HARBOUR VILLAGE","G",2010,"C"
"BAL HARBOUR VILLAGE","G",2012,"C"
"BAL HARBOUR VILLAGE","G",2014,"C"
"BAL HARBOUR VILLAGE","G",2015,"C"
"BAL HARBOUR VILLAGE","P",2005,"D"
"BAL HARBOUR VILLAGE","P",2006,"F"
"BAL HARBOUR VILLAGE","P",2007,"F"
"BAL HARBOUR VILLAGE","P",2009,"F"
"BAL HARBOUR VILLAGE","P",2010,"F"
"BAL HARBOUR VILLAGE","P",2011,"F"
"BAL HARBOUR VILLAGE","P",2012,"D"
"BAL HARBOUR VILLAGE","P",2013,"D"
"BAL HARBOUR VILLAGE","P",2014,"D"
"BAL HARBOUR VILLAGE","P",2015,"D"
"BAL HARBOUR VILLAGE","P",2016,"D"
"BARTOW","G",2006,"A"
"BARTOW","G",2008,"C"
"BARTOW","G",2010,"D"
"BARTOW","G",2011,"D"
"BARTOW","G",2012,"C"
"BARTOW","G",2013,"C"
"BARTOW","G",2014,"C"
"BARTOW","G",2015,"C"
"BARTOW","G",2016,"C"
"BARTOW","P",2010,"D"
"BARTOW","P",2011,"D"
"BARTOW","P",2012,"D"
"BARTOW","P",2013,"C"
"BARTOW","P",2015,"C"
"BARTOW","P",2016,"C"
"BAY HARBOR ISLANDS","G",2011,"B"
"BAY HARBOR ISLANDS","G",2013,"A"
"BAY HARBOR ISLANDS","G",2014,"A"
"BAY HARBOR ISLANDS","G",2015,"A"
"BAY HARBOR ISLANDS","P",2011,"C"
"BAY HARBOR ISLANDS","P",2013,"A"
"BAY HARBOR ISLANDS","P",2014,"A"
"BAY HARBOR ISLANDS","P",2015,"A"
"BAY MEDICAL CENTER","G",2010,"A"
"BAY MEDICAL CENTER","G",2011,"A"
"BAY MEDICAL CENTER","G",2013,"C"
"BAY MEDICAL CENTER","G",2014,"C"
"BAY MEDICAL CENTER","G",2015,"C"
