"plan_sponsor_clean","plan_type_clean","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"ALTAMONTE SPRINGS","G",NA,NA,"A",NA,"A","A","A","A","A","A","A","A"
"ALTAMONTE SPRINGS","P",NA,NA,NA,NA,"C",NA,"B","A","A",NA,"A",NA
"APOPKA","F","A","A","A",NA,"A","A","B",NA,"A",NA,"A",NA
"APOPKA","G","B","A","A",NA,"A",NA,"C",NA,"A",NA,"B",NA
"APOPKA","P","B","B","B",NA,"B","B","C",NA,"A","A","A",NA
"ARCADIA","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
"ARCADIA","PF","A","B","B","B","B","C","D","D","C","C","B","B"
"ATLANTIC BEACH","G","B",NA,"B","B","B","C","C","C","C","C","C",NA
"ATLANTIC BEACH","P","C",NA,"C","D","D","D","D","D","D","C","C","C"
"ATLANTIS","P","A","A",NA,"C",NA,NA,"D",NA,NA,"C",NA,NA
"AUBURNDALE","F",NA,NA,NA,NA,NA,NA,"D","C","C","C","C","C"
"AUBURNDALE","G",NA,NA,NA,NA,NA,"C","D","D","D",NA,"D","D"
"AVENTURA","P",NA,NA,"B",NA,"B",NA,NA,"A",NA,"A",NA,"A"
"AVON PARK","F","A","B","A","B","C","C","D","C","C",NA,"C","C"
"AVON PARK","P",NA,NA,"A","A","A","B","B",NA,"A",NA,"A","A"
"BAL HARBOUR VILLAGE","G",NA,NA,NA,"C",NA,"C",NA,"C",NA,"C","C",NA
"BAL HARBOUR VILLAGE","P","D","F","F",NA,"F","F","F","D","D","D","D","D"
"BARTOW","G",NA,"A",NA,"C",NA,"D","D","C","C","C","C","C"
"BARTOW","P",NA,NA,NA,NA,NA,"D","D","D","C",NA,"C","C"
"BAY HARBOR ISLANDS","G",NA,NA,NA,NA,NA,NA,"B",NA,"A","A","A",NA
"BAY HARBOR ISLANDS","P",NA,NA,NA,NA,NA,NA,"C",NA,"A","A","A",NA
"BAY MEDICAL CENTER","G",NA,NA,NA,NA,NA,"A","A",NA,"C","C","C","D"
"BELLE GLADE","F","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELLE GLADE","G","A","A",NA,"A","A","A",NA,NA,NA,NA,NA,NA
"BELLE GLADE","P","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELLEVIEW","P",NA,NA,"B","B","B","C","C","C","B",NA,"A","A"
"BOCA RATON","G",NA,NA,NA,"A","A","A","A","A","A","A","A",NA
"BOCA RATON","PF",NA,NA,NA,"B",NA,"D","D","D","D","D","D","D"
"BOCA RATON EXECUTIVE","G",NA,NA,NA,"C",NA,"C","F","C","C","C","C",NA
"BOYNTON BEACH","F",NA,"D",NA,"D","D","F","F","D","C","C","C","C"
"BOYNTON BEACH","G","B",NA,NA,"C","C",NA,"C","C","C","B","B","B"
